sector,xi,sigma,u,var99,es99,n_exceed,n_total,xi_lo,xi_hi,var99_hist,es99_hist
XLK,0.1791168402166643,0.010138336955581875,0.018986598186880213,0.047881055366984976,0.0665363544103956,36,360,-0.21598351562591916,0.47399119912601173,0.0487319649947311,0.06450951832396747
XLF,0.10636756477556741,0.00917088978670572,0.011575925207022109,0.035503345923295376,0.04861387190449897,36,360,-0.49784706548960284,0.30437367540434734,0.03070750762455167,0.04910197678208808
XLE,0.3080867373558104,0.008836542702485429,0.01644366840764872,0.046065371775382925,0.07202613538226495,36,360,-0.5226747421990892,1.0359274025984009,0.03973253677828717,0.07197754504427185
XLV,0.2210071697118886,0.005680544696208364,0.010923052726847573,0.02797544615133045,0.040105526861151784,36,360,-0.7430231409251811,0.5705273946206899,0.02809860306719868,0.03591430139756235
XLY,0.09666365696604014,0.00695361852267311,0.0176761223934508,0.03560918517170251,0.045225862302441966,36,360,-0.6618029875901073,0.21150751776910373,0.03352657462107342,0.04564738230756553
XLP,0.17622367802879907,0.00418522350700983,0.01011148927799192,0.021997100894589002,0.02962022568492247,36,360,-0.37421569985487957,0.47700367721666453,0.020972367017312664,0.0287079855821971
XLU,0.12545963501272567,0.00665359809805433,0.011340288694819506,0.029103077218358933,0.039259396375971596,36,360,-0.43725799100333307,0.41678080402468354,0.02418628764138088,0.03834824758585676
XLI,0.242222302046533,0.006027035137570814,0.01241774802707051,0.030997720307017883,0.044890341881408564,36,360,-0.5919091604653521,0.5035134683953116,0.02569852105664804,0.04527415276688779
XLB,0.18678295462426364,0.006314112981628027,0.013727142332730641,0.03189323600474726,0.04383006109574535,36,360,-0.762848643496401,0.3739426455748012,0.028845553148823765,0.04365081145181039
XLRE,-0.10173195072664723,0.0088059432879856,0.011564843067502594,0.029641498306733426,0.03596515070084845,36,360,-0.6569769504351182,0.040217801828727515,0.027712005336599493,0.03426693369140669
XLC,0.17076184858425653,0.006703668176336274,0.011047610691664052,0.02995811583428915,0.04193641299198121,36,360,-0.48327115201980897,0.6234567346248404,0.028379395129566155,0.04243312394949186
